Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
236,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs",5,34,0.533333333333,0.2(0.866666666667),KNN(All)
237,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Deviation",6,36,0.576612903226,0.25(0.903225806452),KNN(All)
238,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector",6,58,0.576612903226,0.25(0.903225806452),Linear SVM(All)
239,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.681238615665,0.444444444444(0.918032786885),Linear SVM(All)
240,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux",4,8,0.464285714286,0.142857142857(0.785714285714),AB(All)
241,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Deviation",5,10,0.594907407407,0.375(0.814814814815),AB(All)
242,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector",5,32,0,0.0(0.813559322034),GP-DP(All)
243,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector,Chroma Deviation",6,34,0.464285714286,0.142857142857(0.785714285714),AB(All)
244,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs",5,34,0.533333333333,0.2(0.866666666667),AB(All)
245,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Deviation",6,36,0.553734061931,0.222222222222(0.885245901639),KNN(All)
246,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector",6,58,0.514637904468,0.181818181818(0.847457627119),AB(All)
247,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.576612903226,0.25(0.903225806452),KNN(All)
248,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff",5,10,0.464285714286,0.142857142857(0.785714285714),AB(All)
249,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Deviation",6,12,0,0.0(0.852459016393),GP-DP(All)
250,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector",6,34,0.514637904468,0.181818181818(0.847457627119),AB(All)
251,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",7,36,0.497126436782,0.166666666667(0.827586206897),AB(All)
252,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs",6,36,0,0.0(0.870967741935),GP-DP(All)
253,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",7,38,0.553734061931,0.222222222222(0.885245901639),KNN(All)
254,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",7,60,0.464285714286,0.142857142857(0.785714285714),AB(All)
255,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",8,62,0.576612903226,0.25(0.903225806452),Linear SVM(All)
256,Entropy of Energy,1,2,0.62249614792,0.363636363636(0.881355932203),AB(All)
257,"Entropy of Energy,Chroma Deviation",2,4,0.41731409545,0.117647058824(0.716981132075),AB(All)
258,"Entropy of Energy,Chroma Vector",2,26,0.576612903226,0.25(0.903225806452),GP-DP(All)
259,"Entropy of Energy,Chroma Vector,Chroma Deviation",3,28,0.576612903226,0.25(0.903225806452),GP-DP(All)
260,"Entropy of Energy,MFCCs",2,28,0.597701149425,0.333333333333(0.862068965517),AB(All)
261,"Entropy of Energy,MFCCs,Chroma Deviation",3,30,0.65,0.4(0.9),AB(All)
262,"Entropy of Energy,MFCCs,Chroma Vector",3,52,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
