Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1406,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",8,31,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1407,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",9,32,0.576612903226,0.25(0.903225806452),KNN(All)
1408,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid",3,3,0.574898785425,0.307692307692(0.842105263158),AB(All)
1409,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Chroma Deviation",4,4,0.480431848853,0.153846153846(0.80701754386),AB(All)
1410,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Chroma Vector",4,15,0.65,0.4(0.9),GP-DP(All)
1411,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Chroma Vector,Chroma Deviation",5,16,0.65,0.4(0.9),GP-DP(All)
1412,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,MFCCs",4,16,0.597701149425,0.333333333333(0.862068965517),AB(All)
1413,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,MFCCs,Chroma Deviation",5,17,0.62249614792,0.363636363636(0.881355932203),AB(All)
1414,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,MFCCs,Chroma Vector",5,28,0.65,0.4(0.9),GP-DP(All)
1415,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,MFCCs,Chroma Vector,Chroma Deviation",6,29,0.681238615665,0.444444444444(0.918032786885),AB(All)
1416,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Rolloff",4,4,0,0.0(0.888888888889),GP-DP(All)
1417,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Rolloff,Chroma Deviation",5,5,0.480431848853,0.153846153846(0.80701754386),AB(All)
1418,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Rolloff,Chroma Vector",5,16,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1419,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,17,0.65,0.4(0.9),GP-DP(All)
1420,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Rolloff,MFCCs",5,17,0.574898785425,0.307692307692(0.842105263158),AB(All)
1421,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Rolloff,MFCCs,Chroma Deviation",6,18,0.574898785425,0.307692307692(0.842105263158),AB(All)
1422,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Rolloff,MFCCs,Chroma Vector",6,29,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1423,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,30,0.65,0.4(0.9),GP-DP(All)
1424,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Flux",4,4,0.553734061931,0.222222222222(0.885245901639),KNN(All)
1425,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Flux,Chroma Deviation",5,5,0.448484848485,0.133333333333(0.763636363636),AB(All)
1426,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Flux,Chroma Vector",5,16,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1427,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Flux,Chroma Vector,Chroma Deviation",6,17,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1428,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Flux,MFCCs",5,17,0.553571428571,0.285714285714(0.821428571429),AB(All)
1429,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Flux,MFCCs,Chroma Deviation",6,18,0.576612903226,0.25(0.903225806452),KNN(All)
1430,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Flux,MFCCs,Chroma Vector",6,29,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1431,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",7,30,0.681238615665,0.444444444444(0.918032786885),AB(All)
1432,"Zero-crossing Rate,Entropy of Energy,Spectral Centroid,Spectral Flux,Spectral Rolloff",5,5,0.533333333333,0.2(0.866666666667),KNN(All)
