Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1741,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Deviation",7,38,0,0.0(0.888888888889),GP-DP(MRMR)
1742,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Vector",7,60,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1743,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",8,62,0.576612903226,0.25(0.903225806452),KNN(All)
1744,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux",5,10,0.65,0.4(0.9),AB(All)
1745,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Deviation",6,12,0.513888888889,0.25(0.777777777778),AB(All)
1746,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Vector",6,34,0.480431848853,0.153846153846(0.80701754386),AB(All)
1747,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Vector,Chroma Deviation",7,36,0.497126436782,0.166666666667(0.827586206897),AB(All)
1748,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs",6,36,0,0.0(0.888888888889),GP-DP(MRMR)
1749,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Deviation",7,38,0.533333333333,0.2(0.866666666667),AB(All)
1750,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Vector",7,60,0,0.0(0.888888888889),GP-DP(MRMR)
1751,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",8,62,0,0.0(0.888888888889),GP-DP(MRMR)
1752,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff",6,12,0.497126436782,0.166666666667(0.827586206897),AB(All)
1753,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Deviation",7,14,0,0.0(0.888888888889),GP-DP(MRMR)
1754,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Vector",7,36,0.480431848853,0.153846153846(0.80701754386),AB(All)
1755,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",8,38,0.533333333333,0.2(0.866666666667),GP-DP(All)
1756,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs",7,38,0,0.0(0.888888888889),GP-DP(MRMR)
1757,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",8,40,0,0.0(0.888888888889),GP-DP(MRMR)
1758,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",8,62,0,0.0(0.888888888889),GP-DP(MRMR)
1759,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",9,64,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1760,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy",5,10,0,0.0(0.888888888889),GP-DP(MRMR)
1761,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Deviation",6,12,0,0.0(0.888888888889),GP-DP(MRMR)
1762,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Vector",6,34,0.533333333333,0.2(0.866666666667),Linear SVM(All)
1763,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Vector,Chroma Deviation",7,36,0.65,0.4(0.9),Linear SVM(All)
1764,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs",6,36,0,0.0(0.888888888889),GP-DP(MRMR)
1765,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Deviation",7,38,0,0.0(0.888888888889),GP-DP(MRMR)
1766,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector",7,60,0.533333333333,0.2(0.866666666667),Linear SVM(All)
1767,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",8,62,0.553734061931,0.222222222222(0.885245901639),Linear SVM(All)
1768,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff",6,12,0,0.0(0.888888888889),GP-DP(MRMR)
1769,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Deviation",7,14,0.497126436782,0.166666666667(0.827586206897),AB(All)
1770,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector",7,36,0.65,0.4(0.9),Linear SVM(All)
1771,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",8,38,0.65,0.4(0.9),Linear SVM(All)
1772,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs",7,38,0,0.0(0.888888888889),GP-DP(MRMR)
1773,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Deviation",8,40,0,0.0(0.888888888889),GP-DP(MRMR)
