Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1316,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,MFCCs",4,32,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1317,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,MFCCs,Chroma Deviation",5,34,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1318,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,MFCCs,Chroma Vector",5,56,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1319,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.597701149425,0.333333333333(0.862068965517),AB(All)
1320,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Rolloff",4,8,0.576612903226,0.25(0.903225806452),KNN(CFS)
1321,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Rolloff,Chroma Deviation",5,10,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1322,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Rolloff,Chroma Vector",5,32,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1323,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,34,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1324,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Rolloff,MFCCs",5,34,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1325,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Deviation",6,36,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1326,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector",6,58,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1327,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1328,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux",4,8,0.681238615665,0.444444444444(0.918032786885),KNN(FCBF)
1329,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,Chroma Deviation",5,10,0.62249614792,0.363636363636(0.881355932203),KNN(CIFE)
1330,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,Chroma Vector",5,32,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1331,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,Chroma Vector,Chroma Deviation",6,34,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1332,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,MFCCs",5,34,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1333,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,MFCCs,Chroma Deviation",6,36,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1334,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector",6,58,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1335,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1336,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff",5,10,0.553734061931,0.222222222222(0.885245901639),KNN(All)
1337,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Deviation",6,12,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1338,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector",6,34,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1339,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",7,36,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1340,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs",6,36,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1341,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",7,38,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
1342,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",7,60,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1343,"Zero-crossing Rate,Entropy of Energy,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",8,62,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1344,"Zero-crossing Rate,Entropy of Energy,Spectral Spread",3,6,0.597701149425,0.333333333333(0.862068965517),AB(CIFE)
1345,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Chroma Deviation",4,8,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1346,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Chroma Vector",4,30,0.669365721997,0.461538461538(0.877192982456),AB(CFS)
1347,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,Chroma Vector,Chroma Deviation",5,32,0.576612903226,0.25(0.903225806452),KNN(FCBF)
1348,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,MFCCs",4,32,0.730354391371,0.545454545455(0.915254237288),AB(CIFE)
1349,"Zero-crossing Rate,Entropy of Energy,Spectral Spread,MFCCs,Chroma Deviation",5,34,0.597701149425,0.333333333333(0.862068965517),AB(CFS)
